Gloss Drop,BATTLES,1900,2010s,2011,Estados Unidos,experimental rock,math rock,-,-,-,-,-,-,-,-,-,-
Jeff Bridges,JEFF BRIDGES,1900,2010s,2011,country,country-blues,country-rock,Estados Unidos,-,-,-,-,-,-,-,-,-
Biophilia,BJÖRK,1900,2010s,2011,ambient,avant-garde,dance-pop,drum'n'bass,electrónica,ethereal wave,Islandia,música experimental,pop,pop electrónico,-,-,-
I Am A Bird Now,ANTONY AND THE JOHNSONS,1900,2000s,2005,art pop,Estados Unidos,Inglaterra,pop,pop de cámara,torch song,-,-,-,-,-,-,-
Back To Black,AMY WINEHOUSE,1900,2000s,2006,blue-eyed soul,Inglaterra,neosoul,pop,rhythm'n'blues,soul,torch song,vocal jazz,-,-,-,-,-
C'mon,LOW,1900,2010s,2011,Estados Unidos,indie rock,pop-rock,rock,sadcore,slowcore,-,-,-,-,-,-,-
50 Words For Snow,KATE BUSH,1900,2010s,2011,art pop,Inglaterra,pop,pop de cámara,pop-rock,-,-,-,-,-,-,-,-
James Blake,JAMES BLAKE,1900,2010s,2011,blue-eyed soul,dubstep,electrónica,Inglaterra,-,-,-,-,-,-,-,-,-
The Seer,SWANS,1900,2010s,2012,art rock,Estados Unidos,experimental rock,noise rock,rock,-,-,-,-,-,-,-,-
La máquina de bolas,ALEX UNDER,1900,2010s,2012,ambient,dub techno,electrónica,glitch music,Madrid,minimal techno,techno,-,-,-,-,-,-
Ghost On The Canvas,GLEN CAMPBELL,1900,2010s,2011,country,country-pop,Estados Unidos,pop-rock,rock,-,-,-,-,-,-,-,-
Reading Too Much Into Things Like Everything,THE SCHOOL,1900,2010s,2012,bubblegum pop,Gales,indie pop,pop,pop-rock,sunshine pop,-,-,-,-,-,-,-
Tremenda Trementina,TREMENDA TREMENTINA,1900,2010s,2012,indie pop,noise pop,Pamplona,pop,-,-,-,-,-,-,-,-,-
WTC 9/11,STEVE REICH,1900,2010s,2011,Estados Unidos,música contemporánea,música minimalista,-,-,-,-,-,-,-,-,-,-
Wild Flag,WILD FLAG,1900,2010s,2011,Estados Unidos,indie rock,pop-rock,rock,rock psicodélico,-,-,-,-,-,-,-,-
Aaliyah,AALIYAH,1900,2000s,2001,dance-pop,Estados Unidos,neosoul,R&B,-,-,-,-,-,-,-,-,-
Tumble Bee. Laura Veirs Sings Folk Songs...,LAURA VEIRS,1900,2010s,2011,Estados Unidos,folk,folk-pop,-,-,-,-,-,-,-,-,-,-
Travels In The Dustland,THE WALKABOUTS,1900,2010s,2011,Estados Unidos,folk-rock,rock,-,-,-,-,-,-,-,-,-,-
Lisbon,THE WALKMEN,1900,2010,2010s,Estados Unidos,rock,-,-,-,-,-,-,-,-,-,-,-
Temple Beautiful,CHUCK PROPHET,1900,2010s,2012,Estados Unidos,rock,-,-,-,-,-,-,-,-,-,-,-
(I),CRYSTAL CASTLES,1900,2000s,2008,Canadá,chiptune,electro,electrónica,glitch music,lo-fi,música experimental,noise pop,synthpop,-,-,-,-
